Word	occurrences
교수	2
그런대로	2
단면	2
뒤집히다	2
박탈하다	4
살찌게 하다	2
여선생	2
점잔빼다	3
주맥	2
주인	3
총톤수	2
통틀어	2
해병대	3
호화판	2
12월	2
1단	2
2군 선수	2
2등	2
3행 광고	2
6배의	3
가끔	2
가늘게 하다	3
가두다	2
가득찬	2
가라앉다	2
가라앉히다	2
가로막다	2
가로장	2
가르치다	2
가면극	2
가면을 벗다	2
가미하다	2
가방	2
가벼운	2
가스	2
가옥	3
가장자리	2
가정부	2
가죽	2
가죽끈	2
가죽배	2
가지	4
가지치기	2
간격	2
간담회	2
간선	2
간섭	2
간혹	2
갈다	5
감다	4
감미로운	2
감시원	3
감시하다	3
감안	2
감찰	2
갑자기	3
갓	4
강적	2
강제하다	2
강해지다	2
개가식	2
개괄적으로	2
개시	4
개인 천막	2
개인주의	2
개정일	2
개종하다	2
객원 강사	2
객원 교수	2
거꾸로	2
거두다	4
거물	2
거부권	2
거의	2
거점	2
거품	3
거품 이는	2
건반	2
건재	2
걷다	5
걷어차다	2
걸다	5
걸리다	4
걸쇠	2
걸치다	2
것	2
것은 무엇이나	2
겉	2
겉옷	2
겉잠	3
게다가	2
게시판	2
게시하다	2
격발	2
격자	2
견뎌내다	2
견디다	2
견지	3
결빙	2
결석의	3
결승전	2
결승점	3
결실	3
결탁	3
결혼식	2
겸비하다	2
경도계	2
경사	3
경시	3
경치	2
경화하다	2
곁쇠	2
계산기	2
계속되다	2
고리	4
고립시키다	2
고맙습니다	2
고문	4
고별사	2
고상하게	2
고장	3
고장나서	2
곤경에 빠져	2
골동품	3
골라내다	2
골무	2
골짜기	2
공격하다	2
공기놀이	3
공도	2
공동성명	2
공모	4
공무원	2
공복	3
공유지	2
공인 주류 판매인	2
공중 어뢰	2
공채	4
공표하다	2
과격론자	3
과수원	2
관악기	3
광궤	2
광명	2
광장	2
광택	2
괴롭히다	3
교수형	2
구명대	3
구보	2
구성	2
구애하다	2
구역제	2
구충제	4
구획하다	2
국지전	2
군사 교련	2
군주	2
굳어진	2
굴절	2
굴절시키다	3
굴착기	2
굶주리게 하다	2
굼뜬	2
굽	3
굽은	2
권력	2
권리	2
권법	2
궤도	3
귀때	2
귀여운 사람	3
귀천	2
규정하다	4
규칙	2
그대로	2
그래도	2
그러모은	3
그런데	2
그로기가 된	2
그리고 나서	2
그림 패	2
그만두다	2
극도로	2
극한	3
근해 어업	2
금고 털이	2
금기	2
금일	2
금지	2
급변	3
급함	2
기	5
기계어	2
기관	6
기관차	2
기꺼이	2
기꺼이 받아들이는	2
기껏해야	3
기념문	2
기능주의	2
기도	3
기도서	2
기록	2
기사	5
기술	4
기울어	2
기일	4
기자	2
기절시키다	2
기초 저음	2
기형아	2
기혼 부인	2
길게	2
길들다	2
길을 잃다	3
길을 잘못 들다	2
깔개	2
깔짚	2
깜박이다	2
깨다	3
깨닫다	2
꼬다	3
꼬리	2
꼬박	2
꼬투리	3
꼭	3
꼴사나운	2
꼴찌	3
꽂다	2
꽂히다	2
꽃병	3
꾀다	3
꾸미다	3
꾸밈	2
끄는 줄	2
끄다	2
끄덕이다	2
끈	3
끌다	2
끌어 당기다	2
끌어 올리다	2
끝	2
끝을 자르다	2
나들이옷	2
나방의 일종	2
나약	4
나중에	2
나타나다	2
낙관하다	2
날개	2
날리다	2
날밑	3
날아가다	2
날조하다	2
날지 못하는	2
남기다	2
남다	2
남성 우월주의자	4
낫	2
낭비하다	2
낮은	2
낮추다	2
낳다	3
내다	5
내려앉다	2
내리다	2
내버리다	2
내보내다	2
내전	3
냄비	2
냄새 자국	2
냄새나는	2
냉각탑	2
냉혹	2
너무나	2
너털웃음	2
넘실거리다	2
넘어뜨리다	2
넘쳐 흐르다	2
노래하다	2
노력하다	2
노처녀	2
노출	2
노킹	2
녹다	2
녹반	2
녹이다	3
녹화하다	2
놀라게 하다	2
놀랄만큼	2
누그러뜨리다	2
누비듯이 나아가다	2
누선	3
눈뜨다	2
눈이 큰	3
눈이 휘둥그래진	2
느즈러지다	2
늑재	3
늘	2
늘어놓다	2
늦다	2
다 써버리다	3
